x,y,is_anomaly,timestamp
0,98.39,True,2026-08-31 23:32:42
1,44.89,False,2026-08-31 23:32:43
2,43.31,False,2026-08-31 23:32:43
3,47.13,False,2026-08-31 23:32:43
4,47.81,False,2026-08-31 23:32:43
5,43.04,False,2026-08-31 23:32:43
6,49.79,False,2026-08-31 23:32:43
7,86.5,True,2026-08-31 23:32:43
8,47.15,False,2026-08-31 23:32:44
9,81.71,True,2026-08-31 23:32:44
10,59.86,False,2026-08-31 23:32:44
11,82.2,True,2026-08-31 23:32:44
12,97.83,True,2026-08-31 23:32:44
13,55.34,False,2026-08-31 23:32:44
14,56.33,False,2026-08-31 23:32:44
15,45.67,False,2026-08-31 23:32:45
16,52.22,False,2026-08-31 23:32:45
17,49.82,False,2026-08-31 23:32:45
18,82.2,True,2026-08-31 23:32:45
19,46.76,False,2026-08-31 23:32:45
20,48.79,False,2026-08-31 23:32:45
21,49.03,False,2026-08-31 23:32:45
22,54.89,False,2026-08-31 23:32:46
23,53.71,False,2026-08-31 23:32:46
24,58.11,False,2026-08-31 23:32:46
25,50.02,False,2026-08-31 23:32:46
26,92.93,True,2026-08-31 23:32:46
27,45.74,False,2026-08-31 23:32:46
28,57.44,False,2026-08-31 23:32:46
29,51.83,False,2026-08-31 23:32:47
30,88.57,True,2026-08-31 23:32:47
31,49.96,False,2026-08-31 23:32:47
32,49.63,False,2026-08-31 23:32:47
33,45.77,False,2026-08-31 23:32:47
34,49.69,False,2026-08-31 23:32:47
35,48.55,False,2026-08-31 23:32:47
36,50.53,False,2026-08-31 23:32:47
37,81.85,True,2026-08-31 23:32:48
38,40.76,True,2026-08-31 23:32:48
39,48.27,False,2026-08-31 23:32:48
40,53.51,False,2026-08-31 23:32:48
41,54.51,False,2026-08-31 23:32:48
42,54.67,False,2026-08-31 23:32:48
43,44.7,False,2026-08-31 23:32:48
44,81.65,True,2026-08-31 23:32:49
45,54.25,False,2026-08-31 23:32:49
46,53.52,False,2026-08-31 23:32:49
47,52.03,False,2026-08-31 23:32:49
48,44.58,False,2026-08-31 23:32:49
49,58.08,False,2026-08-31 23:32:49
50,50.93,False,2026-08-31 23:32:49
51,41.6,False,2026-08-31 23:32:50
52,53.13,False,2026-08-31 23:32:50
53,56.52,False,2026-08-31 23:32:50
54,50.79,False,2026-08-31 23:32:50
55,50.15,False,2026-08-31 23:32:50
56,43.86,False,2026-08-31 23:32:50
57,44.07,False,2026-08-31 23:32:50
58,53.72,False,2026-08-31 23:32:51
59,53.76,False,2026-08-31 23:32:51
60,49.13,False,2026-08-31 23:32:51
61,53.39,False,2026-08-31 23:32:51
62,55.73,False,2026-08-31 23:32:51
63,45.13,False,2026-08-31 23:32:51
64,41.71,False,2026-08-31 23:32:51
65,46.78,False,2026-08-31 23:32:52
66,81.98,True,2026-08-31 23:32:52
67,52.63,False,2026-08-31 23:32:52
68,55.98,False,2026-08-31 23:32:52
69,91.4,True,2026-08-31 23:32:52
70,49.76,False,2026-08-31 23:32:52
71,54.94,False,2026-08-31 23:32:53
72,53.88,False,2026-08-31 23:32:53
73,44.89,False,2026-08-31 23:32:53
74,45.92,False,2026-08-31 23:32:53
75,57.15,False,2026-08-31 23:32:53
76,49.6,False,2026-08-31 23:32:53
77,46.16,False,2026-08-31 23:32:53
78,47.6,False,2026-08-31 23:32:53
79,51.01,False,2026-08-31 23:32:54
80,47.23,False,2026-08-31 23:32:54
81,47.38,False,2026-08-31 23:32:54
82,41.84,False,2026-08-31 23:32:54
83,52.66,False,2026-08-31 23:32:54
84,85.59,True,2026-08-31 23:32:54
85,95.22,True,2026-08-31 23:32:54
86,52.85,False,2026-08-31 23:32:55
87,51.17,False,2026-08-31 23:32:55
88,55.22,False,2026-08-31 23:32:55
89,51.05,False,2026-08-31 23:32:55
90,46.92,False,2026-08-31 23:32:55
91,53.44,False,2026-08-31 23:32:55
92,49.72,False,2026-08-31 23:32:55
93,49.34,False,2026-08-31 23:32:56
94,47.37,False,2026-08-31 23:32:56
95,42.61,False,2026-08-31 23:32:56
96,51.36,False,2026-08-31 23:32:56
